Currency,Buying,Selling,Mean,Transaction Date,source_url,scraped_at
ZWD,6.4942,6.5592,6.5267,2026-01-27,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-27 03:06:04.051249
AED,673.1331,679.8644,676.4988,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
ATS,158.4804,160.0653,159.2728,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
AUD,1717.1409,1734.3123,1725.7266,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
BIF,0.8301,0.8384,0.8343,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
BWP,199.0351,201.0254,200.0302,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
CAD,1807.7686,1825.8463,1816.8075,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
CHF,3206.439,3238.5034,3222.4712,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
CNY,355.4617,359.0163,357.239,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
CUC,103.0202,104.0504,103.5353,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
DKK,394.8143,398.7625,396.7884,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
DZD,19.0592,19.2498,19.1545,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
EUR,2948.1913,2977.6732,2962.9322,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
GBP,3396.2056,3430.1677,3413.1866,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
HKD,316.9771,320.1469,318.562,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
INR,26.9807,27.2505,27.1156,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
IQD,1.8867,1.9055,1.8961,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
IRR,0.0023,0.0023,0.0023,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
JPY,16.1232,16.2844,16.2038,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
KES,19.1517,19.3432,19.2475,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
KRW,1.7145,1.7316,1.7231,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
KWD,8103.8517,8184.8902,8144.3709,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
MWK,1.412,1.4262,1.4191,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
MYR,625.1543,631.4058,628.28,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
MZM,38.1439,38.5253,38.3346,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
NAD,154.347,155.8905,155.1188,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
NGN,1.7513,1.7689,1.7601,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
NLG,989.5878,999.4837,994.5358,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
NOK,254.9848,257.5346,256.2597,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
NZD,1481.7603,1496.578,1489.1692,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
PKR,8.8272,8.9154,8.8713,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
QAR,678.3224,685.1056,681.714,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
RWF,1.6938,1.7108,1.7023,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
SAR,659.3294,665.9227,662.626,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
SDR,3405.9741,3440.0338,3423.004,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
SEK,278.5177,281.3029,279.9103,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
SGD,1952.9898,1972.5197,1962.7548,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
TRY,56.9574,57.5269,57.2422,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
UGX,0.6906,0.6975,0.6941,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
USD,2472.4851,2497.21,2484.8476,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
GOLD,12572005.45,12697725.51,12634865.48,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
ZAR,154.3307,155.874,155.1023,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
